Liga-ID;Liga-Name;Einladungslink;Teilnehmer1;Teilnehmer2;Teilnehmer3;Teilnehmer4;Teilnehmer5;Teilnehmer6;Teilnehmer7;Teilnehmer8;Teilnehmer9;Teilnehmer10;Teilnehmer11;Teilnehmer12;;;;
840596856902881280;AFFC RL West VI;https://sleeper.app/i/z25LKRXAkkdb;Korni;hennesgol;marcoh100;burger1904;chuuum;jonniewerfaller;albuquerqueaztecs;greatgronkowski87;wollhaar;haselosi;joelez;patrick82;;;;
840596928638058496;AFFC RL West VII;https://sleeper.app/i/LdPMKNKRqBkm;fumbleinthejungle;pat94;derwalter;turnuptil;olewazzz;jaedtki;andyterhoeven;Calli97;chiefcedric;fidivs;frrene;nizco;;;;
840596988373340160;AFFC RL West VIII;https://sleeper.app/i/JXDYJx5J8M10;DarthOcram;XroesnerX;ow1848;jonesrulez;steelop;nrj;fcchris;thr33eyedravens;sirrodderick;dennisli;paluen1987;n00dlebrain;;;;
840597041959780352;AFFC RL West  IX;https://sleeper.app/i/LdPMKjD8mw8X;muckbear;skai20;jonas2505;machinagear;carson85;joshbrosen;dominguez49ers;ravensfan96;beppolino;Tiago13;CassioRene;margeee;;;;
840597100633919488;AFFC RL West X;https://sleeper.app/i/YdEWLoKz6JJN;julianmaletz44;matteagleiii;bjoern86;Sepp92;wallacehannes;lyvianne;Staffordserben;McVocht;Trueffel;Duzen;PunterPaule81;juls;;;;
840597156191649792;AFFC RL West XI;https://sleeper.app/i/jPG0MLGzz7bV;sarius;bestermannujah;darioboltup;muecke63;dschauer;sirpatrick1986;woltzinho;anno72;TheCarren;badger5000;mp6;vzudemp;;;;
840597251796643840;AFFC RL West XII;https://sleeper.app/i/QdkPgX2Oe8oJ;pkcards21;leyjohn;jmkuk;klunsen;toffi;leon9399;thegoldenboy5;masi;68represent;malaikamihambo;sanprit;phili;;;;
840597356687781888;AFFC RL West XIII;https://sleeper.app/i/YdEWN7JQ04kX;cbulls96;bettercalldan;rastarocketts;ht8;schweinebaermann;dieselmutter;launz;drunkenhomer;thekingsley172;liljordan2312;7RAWW;wiglgrimpft;;;;
840597469225132032;CFFC RL West I;https://sleeper.app/i/0qK5V0N2oN75;LordGordei;zeppy1891;dominik1904;lospieker;jimknopf;vandersnaps;klimteastwood;Skruz;tortujacki;ChrisPatsNation;sostenitori;tritraxx2k;;;;
840597568990871552;CFFC RL West II;https://sleeper.app/i/LdPMBN5kxqJm;lejo91;michel9901;MaxJcbs;orangina1895;aryndar;patrick1919;chiefsten;azmarci;almigurdve;flx145;witti91;lsutigers7;;;;
840597629963468800;CFFC RL West III;https://sleeper.app/i/YdEW7M80e7WD;darksider1204;s4msp4de;coalandsteel;bastig;dannydimes97;bl33dinggr33n;boffy;JaFrie;turndownforwatt16;ParrisHilton99;filzmatte;RCS09Steelers;;;;
840597699718946816;CFFC RL West IV;https://sleeper.app/i/JXDYj0kYG0Ke;kori;jetpack;mattmet;debastian;micha2189;Hille87;cmlinus;parceval;kugelblitz;colognepatriots;lueckmann;aladin2007;;;;
840597755473793024;CFFC RL West V;https://sleeper.app/i/m4O3XexZOVnG;Rednameg;manolitomaen;toeffchen;ollihol87;packers1895;Nikurasu;TayksomeMore;cardssupppob;danielwep;mattheo;ffdklfu;nrinvicta;;;;
840597813090951168;CFFC RL West VI;https://sleeper.app/i/m4O3Ag6wbOKg;drallerwikinger;RenDhark;pascal3;stbert;deadkenny;Boergi84;wombub;janb15;theautumnwind90;wiegel;anneliesdad;emerson778;;;;
840597866899705856;CFFC RL West VII;https://sleeper.app/i/kLAx3m7JYjQx;gernharts04;MaledictusMade;coolnessfaktor;paxx90;jfkarate;dan249;janeksmy;philippbrmm;donmic;19Olson82;tosimo03;tim15;;;;
840597933190680576;CFFC RL West VIII;https://sleeper.app/i/0qK5MA1OPKaw;Cologne49ers;Schwaerzelmann;biggie36;runnerteam149;lucacs;jules7784;CB1904;CrsRoKk;dominik24;nelsonsnils95;Renke;suhn912;;;;
840597990002511872;CFFC RL West  IX;https://sleeper.app/i/Vdwk5Z2G0dV3;Germie87;marcelmo;wichelmich;chricro;ChrispY49;eschbergsharks;kikoalonso;domXIII;NilsNerd;uschandelucca;harveygb;failery;;;;
840598041797984256;CFFC RL West X;https://sleeper.app/i/kLAx3eqm9qeJ;OzzyBrockweiler;swarlix;totti;john59;polarsxpress;BradyGaga92;sirleonat;kinggeorge85;tobiiii;mrnilsson;capitano;kingmoe7;;;;
840598116737585152;CFFC RL West XI;https://sleeper.app/i/LdPMjazBm7zE;ReneBulls93;DblAGapBlitz;HallidayOne;svenbusch;khgb12;moloch;loftedtimon93;Kapo2385;Ammanas;captainkonsum;norrisft;Grawo;;;;
840598169199980544;CFFC RL West XII;https://sleeper.app/i/YdEWxVgdWmBj;kaarstercardinals;nikojets;Me94;050487ws;gotawa;diego777;cameroon1991;medo76;justkrueger;michi11594;bermier;lucachiefs67;;;;
840598294097965056;CFFC RL West XIII;https://sleeper.app/i/kLAxBReMbZkw;PBThunder;FabianM;prezluka33;marvin98;ratzone;AereVaere;junker97;ARod83;rtgking;ItsAntje;Hugenay;tdog45;;;;
840598418626842624;AFFC RL Ost I;https://sleeper.app/i/m4O3LOQVDLjY;HdBemsoe;redmoon81;martinhilbig;reibbier;krub3r;4teen9r;ExitSouth;Proto13;Bierle91;hosenbein;lilinus;Ackimulaktor;;;;
840598471588319232;AFFC RL Ost II;https://sleeper.app/i/0qK5XGx2e0qR;moneyballer;tomboy248;bigbluekoepenick;trashtalkpatriots;sasosunicorns;xterenx;robertbmd;alfischi5;patte63;Bigfot;alibu90;tuschi;;;;
840598531797549056;AFFC RL Ost III;https://sleeper.app/i/kLAxJNdwe91K;trveman;karlbautermann;MarianSEA;matadorx;robbser;schnucke87;chrissi231;paschi;hpnike;donrico;derzett;beatsteaks1989;;;;
840598603620782080;AFFC RL Ost IV;https://sleeper.app/i/z25LXPA50a4w;steffenf91;HuaHuaBar;janrod12;chris;tyrone;rdparty;max98;Schlinos;KiP86;goatias;autzensaints;hoelli90;;;;
840598664555667456;AFFC RL Ost V;https://sleeper.app/i/kLAxJj5wQlkk;Shikawara;FireAfro;SmurfTurfHawk;yarislav;g0r4m5;glueckskeks;mpti;marian92;steellos;DavidTacovailoa;esachargers;FloFM2110;;;;
840598752971595776;CFFC RL Ost I;https://sleeper.app/i/0qK5X007BKlQ;geiseltalbuzzards;Inarijaervi;Martini83;vince00;matthendrix;chdu9926;nik284;AJOconnor;HockelberryFin;hannesto;jenserich;JoniJone1893;;;;
840598816716603392;CFFC RL Ost II;https://sleeper.app/i/jPG0Zz979bRo;moshingdolphins;11larrylegend;iampatker;gobengo82;ob7;schlmpf;gohawks91;bulettenmafia;AlighatorMilch;xammer;hannsmaiser;maurice1610;;;;
840598873658466304;CFFC RL Ost III;https://sleeper.app/i/jPG0ZdAjLR4o;Moehre111;olliwood21;xoyoxx;hannes9811;simoneon;ream1;chrille92;0lemnrs;acquijpayya;selfless;Stolle1990;crusher50;;;;
840598925034500096;CFFC RL Ost IV;https://sleeper.app/i/LdPMAg0xlQYm;Zachi93;Nico49ers;highNeunes;victorg1996;pumelomi;giftmuell;thunderstruck97;Biehlaner;zyzo;snowflyzone1919;nicberlin;Denverberlin;;;;
840599066185433088;AFFC RL Süd I;https://sleeper.app/i/YdEWA0R3N15a;Davizius1989;jetupstefan;martho94;simon313;xxmarci96xx;samjoz;dagster;maxikingi;eugsadr;walterderhalter;MrEichbaum;emdi;;;;
840599116781314048;AFFC RL Süd II;https://sleeper.app/i/jPG0PXgMWOmX;Sllbhr;Gunner1909;Kiascht;whitebirch17;j0n3ss;hawks19san;Der_echte_Matze;Puppenkiste;BockenheimInvaders;fruby89;lolopator300;Achim;;;;
840599165405888512;AFFC RL Süd III;https://sleeper.app/i/kLAxLE9w9VlG;micho;Weimo;ElGatoLoco;jonnysteiert;palloo;chrisgros;mttheplaybook;wildbird;Casperom;eule57;blitzandblock;crocop8957;;;;
840599215892713472;AFFC RL Süd IV;https://sleeper.app/i/Vdwkdz31lQmo;ratekey;MrBaloo;daveschwiiz;matze7777;purplereign61;cowboymoe;schmiedla;matzerati;bigk91;baronsodgers;vaiddthelegend;sirwennes;;;;
840599280992489472;AFFC RL Süd V;https://sleeper.app/i/Vdwkd5NXDOx6;LeeksUnited;jca950;bische1995;nik15tsg;wombatman98;curri;niklasify;johndorian;moize;berndtinho;daniel49er;marc41;;;;
840599335099047936;AFFC RL Süd  VI;https://sleeper.app/i/z25L2l9AO1XB;HornsUp213;weeez;hendrix;jezzaa36;joeystreng;krylli;ABrunney;elchobo;philippsoldner;NYGSQ26;BroncosKA;paleking;;;;
840599387116810240;AFFC RL Süd VII;https://sleeper.app/i/QdkPdmRelOLP;Krampfadergeschwader;Magmaflip;HerrOin;hullig2;peso;mattposer;Michl83;vfbeddy;dieroterakete;mthinc;lafamilia93;eldolpo;;;;
